"labels","values","parents","ids"
"Vignette",0,"Video","Video - Vignette"
"Visual aid + Text",1,"Image","Image - Visual aid + Text"
"Visual aid + Text",0,"Images","Images - Visual aid + Text"
"Visual aid + Text",0,"Online text","Online text - Visual aid + Text"
"Visual aid + Text",0,"Other","Other - Visual aid + Text"
"Visual aid + Text",0,"Sound","Sound - Visual aid + Text"
"Visual aid + Text",1,"Text","Text - Visual aid + Text"
"Visual aid + Text",0,"Video","Video - Visual aid + Text"
"Visual maps",2,"Image","Image - Visual maps"
"Visual maps",0,"Images","Images - Visual maps"
"Visual maps",0,"Online text","Online text - Visual maps"
"Visual maps",0,"Other","Other - Visual maps"
"Visual maps",0,"Sound","Sound - Visual maps"
"Visual maps",0,"Text","Text - Visual maps"
"Visual maps",0,"Video","Video - Visual maps"
"webpage",1,"Image","Image - webpage"
"webpage",0,"Images","Images - webpage"
"webpage",1,"Online text","Online text - webpage"
"webpage",0,"Other","Other - webpage"
"webpage",0,"Sound","Sound - webpage"
"webpage",1,"Text","Text - webpage"
"webpage",0,"Video","Video - webpage"
